"Landmark","Mean","Median","SD","Min","Max"
"g",0.851514915176146,0.458947653024782,0.751906825502914,0.0321747954497968,2.59341609891076
"n",0.438937437248898,0.260322564148648,0.450498634685214,0.045537440378705,2.02298328161376
"ale",0.475545374643358,0.189528901093608,0.613019519008003,0.00162073020222453,2.44241947198872
"rhi",0.306592137189612,0.0878647951440121,1.08752014599074,0,6.24403289720179
"fmo-r",0.365983183741038,0.332026258769828,0.28716904620681,0.0336473437137321,0.996642333188666
"fmo-l",0.466549016438888,0.418523675290443,0.418873955890909,0.0110324351295039,1.88499061385516
"ec-l",0.620800527422289,0.485019770000215,0.490588823761158,0.0857115488330627,2.54598964309131
"ec-r",0.425501822024627,0.357480539078145,0.339337757928218,0.0963902256546116,1.46096102087027
"mso-r",0.852721875529685,0.64979977826251,0.628847437370309,0.040572017599345,2.56628705188359
"mso-l",0.706023115794908,0.611815113212397,0.464000399378867,0.115102395015096,1.71788544650799
"or-r",0.7410926122954,0.567867476672241,0.489235116951163,0.0381269051856552,1.92607177204028
"or-l",0.636054838903925,0.622055148907736,0.396977466352607,0.0453822100029927,1.42943908991999
"mio-r",0.925079161856049,0.803880609138723,0.649089116166261,0.00881682642239848,2.86681565719508
"mio-l",0.966697173429337,0.951172893699884,0.676857577988862,0.0351564887109628,3.37749801225953
"al-r",0.449453533922526,0.231626669430793,0.470801784802131,0.0370516738234404,1.85575115631578
"al-l",0.381424954177565,0.228589175595149,0.424847321951056,0.0312658039287596,1.7514831883938
"pr",0.675626244423569,0.273962651273919,0.815283718635744,0.0268080757291154,3.44388994958121
"ss",0.333620408899216,0.19758433176519,0.448652282331804,0.018397569904681,1.95501651725254
"ns",1.0461414580052,0.732057581372912,1.06738574360357,0.0370205664572569,3.90929904549095
"mp",0.539139138645161,0.325969135081405,0.754908983056747,0.0658464388046578,4.19121364350389
"ecm-r",0.620024147366045,0.45270115772053,0.793836395223129,0.0938968874253613,4.69725804311594
"ecm-l",0.7616023735786,0.425988374106522,1.06091371112592,0.119225752557114,5.47351314521354
"zy-r",0.402567909307382,0.149364676616599,0.606799193530254,0.00756559526564217,3.11533030559805
"zy-l",0.729100458037035,0.329920845239853,0.816867115622769,0.00890899985404858,3.58999927989244
"mo-r",0.744036445731838,0.708282736127981,0.484268168000332,0.103733116335263,2.11854203782452
"mo-l",0.760859877850655,0.790432914278767,0.508165934158286,0.0129634713736896,2.33173133774984
"ft-r",0.649697617397944,0.488313890624696,0.578800472886624,0.0472257467254131,2.41683486689785
"ft-l",0.707738657868094,0.441979255174368,0.568628178022016,0.115390698495961,1.97905978288667
"ms-r",0.49072528636155,0.350021330731175,0.603858189921178,0.0214970259735231,2.92232815554868
"ms-l",0.580248789450859,0.298125189970581,0.702156825691368,0,3.48438266689515
"po-r",0.782546353625118,0.666826092788476,0.596112782686771,0.0870138433386488,2.37859305749803
"po-l",0.44294173497822,0.264056839835226,0.414578578901685,0.0125551728540843,1.57163751341529
"au-r",0.640804357013445,0.54118731833615,0.443917731222229,0.133168934907042,1.70005581006702
"au-l",0.70138476451891,0.60788413941298,0.459594218724611,0.0898824282202712,1.67439534245271
"a",0.182873647426984,0.0703389940635551,0.276035471298275,0,1.02593635453776
"zm-r",0.686019170684087,0.218347965972871,0.940010723881595,0.0262942084202166,4.6241817690843
"zm-l",0.767195026869387,0.356281372269004,0.979244134226158,0.00625066288025579,4.53123218972889
"cr-l",0.207271949283062,0.142731957215531,0.209693747549801,0,0.87466859688624
"cr-r",0.218445241672314,0.114157909661147,0.220867118880478,0.0221013443214619,0.743311422844803
"cdl-r",0.370483132324147,0.297119730139558,0.309495709816147,0.0411254759015044,1.70542396866004
"cdl-l",0.398290154808436,0.25520822093816,0.336677327328251,0.0197610377444033,1.26141913474564
"fmt-r",0.625297170170651,0.37273960806696,0.60592382360243,0.04586229947685,2.84112198438884
"fmt-l",0.659603482246331,0.492874172304484,0.564071088246903,0.054153662371482,2.2650785917544
"ju-r",0.339677544831309,0.154313940188975,0.386552635347511,0.0179381240853569,1.13881795164104
"ju-l",0.213949888197414,0.071069769178908,0.31170248081076,0.0144056372436457,1.1717939319402
